Aarav,78,82,69,74,88
Vivaan,65,70,72,68,60
Aditya,90,92,88,91,94
Vihaan,55,60,58,62,57
Arjun,80,85,83,79,81
Sai,72,75,70,68,74
Reyansh,88,90,92,87,89
Krishna,60,65,63,67,62
Ishaan,77,79,76,74,78
Shaurya,69,71,73,70,68
Atharva,91,93,95,92,90
Dhruv,58,62,60,59,61
Kabir,84,86,82,80,83
Rudra,73,75,78,72,74
Aryan,66,68,70,65,67
Yash,89,91,88,90,92
Om,54,57,59,56,55
Parth,81,83,85,80,82
Kunal,76,78,74,77,75
Harsh,62,64,66,63,61
Anaya,90,88,91,92,89
Diya,78,80,82,79,77
Riya,85,87,89,86,88
Sara,70,72,74,71,73
Meera,60,62,64,61,63
Ira,92,94,96,93,95
Aditi,68,70,72,69,71
Kavya,75,77,79,76,78
Pooja,82,84,86,83,85
Sneha,58,60,62,59,61
Neha,91,89,92,90,93
Tanya,67,69,71,68,70
Nisha,74,76,78,75,77
Simran,80,82,84,81,83
Anushka,63,65,67,64,66
Ishita,88,90,92,89,91
Radhika,55,57,59,56,58
Priya,77,79,81,78,80
Sanya,84,86,88,85,87
Muskan,69,71,73,70,72
Aman,72,74,76,73,75
Rohit,65,67,69,66,68
Sahil,90,92,94,91,93
Deepak,58,60,62,59,61
Nikhil,81,83,85,82,84
Varun,73,75,77,74,76
Manish,66,68,70,67,69
Rahul,88,90,92,89,91
Akash,60,62,64,61,63
Tarun,79,81,83,80,82
